Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;3;248;44;101;73;250;29;109
50;106;95;110;239;69;250;19;171
250;111;219;114;98;71;250;16;102
100;28;138;22;182;190;158;20;184
50;89;197;102;20;70;250;26;27
150;106;170;80;97;109;250;20;130
200;25;100;77;39;64;250;31;86
100;72;149;79;36;70;250;112;52
200;169;130;106;198;84;250;36;168
50;189;183;180;35;62;250;41;57
150;250;109;139;181;96;250;72;158
100;250;149;182;211;98;250;36;181
150;250;101;140;138;119;250;43;143
0;39;250;138;57;67;250;61;33
150;250;69;110;139;87;250;50;147
50;17;250;250;246;250;120;20;250
150;147;93;64;175;26;250;50;154
50;197;75;72;79;174;164;27;120
200;250;95;126;79;75;250;29;117
150;100;170;80;105;87;250;31;125
100;22;130;124;110;117;250;40;102
200;211;98;85;89;97;250;35;117
50;111;129;42;61;75;250;50;101
150;0;151;51;132;42;250;70;137
100;225;87;83;14;40;250;16;82
200;250;36;44;14;64;250;21;109
100;28;154;121;140;78;250;24;148
50;36;247;127;21;61;250;31;19
150;64;250;72;5;88;250;50;2
200;250;29;9;184;88;214;29;139
150;250;125;138;127;129;208;55;160
50;11;222;17;196;116;250;38;231
200;122;157;104;34;64;250;31;64
150;28;250;125;102;62;250;91;116
50;39;250;78;128;86;250;87;159
50;0;250;121;16;61;250;30;5
200;142;162;114;14;62;250;86;51
200;211;140;45;250;109;250;46;193
200;250;130;141;109;96;250;28;131
0;150;230;160;47;66;250;12;54
150;100;129;98;119;115;250;53;136
0;3;146;30;108;72;250;27;118
200;69;250;103;228;138;227;36;242
150;250;15;38;218;125;250;18;132
50;144;125;139;55;111;250;35;90
250;58;212;88;138;83;250;33;154
150;194;77;66;154;114;250;20;142
50;44;152;35;125;106;250;27;142
