Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;6;171;117;100;125;128;19;128
100;94;214;231;58;83;250;26;48
150;64;51;51;118;40;250;20;123
50;89;250;108;185;50;237;40;250
200;250;60;60;250;8;250;91;151
200;36;215;154;33;33;250;22;18
50;250;103;71;29;27;250;13;78
200;250;40;43;49;20;250;16;108
200;92;104;46;136;121;126;37;91
200;83;179;100;66;144;142;22;137
150;75;152;60;74;143;112;13;123
50;17;250;57;93;7;146;34;250
150;8;173;91;82;91;160;28;62
150;22;179;121;54;186;110;15;100
200;247;150;47;88;60;182;29;61
50;0;227;9;47;0;210;115;82
150;250;106;10;122;53;198;42;103
100;250;144;206;78;32;250;38;120
200;111;127;128;158;94;250;32;140
150;247;134;131;161;71;245;11;179
150;158;250;98;142;79;250;34;214
200;139;229;137;134;50;250;44;211
150;211;120;119;84;68;250;66;83
100;136;179;111;169;89;250;65;182
200;117;250;152;119;52;250;31;198
200;89;250;137;110;60;235;91;183
150;0;0;0;0;0;0;0;0
150;250;140;208;78;32;250;172;120
150;250;58;68;68;129;88;17;132
0;11;250;128;135;53;115;24;250
200;250;139;164;78;32;250;40;121
50;122;109;62;97;66;250;121;120
150;211;163;139;109;53;250;55;117
50;3;250;129;171;40;250;27;216
100;142;75;80;140;121;177;26;111
200;250;61;98;85;59;216;19;137
50;250;109;112;46;61;205;12;106
150;131;152;86;146;250;101;98;140
150;6;241;206;197;47;250;30;216
200;44;250;84;143;104;250;32;250
150;47;166;66;86;34;250;60;95
100;250;218;218;117;103;216;15;196
150;250;101;145;153;92;241;16;129
