Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
100;250;85;106;43;25;250;17;90
150;203;109;127;189;31;250;14;156
100;250;186;250;59;53;250;89;52
0;106;82;93;101;31;250;15;108
50;3;209;105;121;62;250;29;159
150;0;158;178;143;26;250;32;164
100;250;198;250;73;65;250;45;59
100;0;250;60;242;138;111;33;250
200;250;123;180;71;94;237;47;129
200;6;194;110;213;47;250;14;220
150;156;207;207;60;58;217;26;91
50;250;74;117;45;21;250;22;92
150;14;250;93;68;63;227;36;90
100;0;247;58;83;38;160;31;117
200;250;145;243;73;64;250;144;120
0;56;242;61;62;71;250;29;37
150;250;199;250;75;30;250;40;68
150;72;111;65;11;57;234;15;73
150;11;158;15;78;0;250;181;77
200;250;14;10;66;69;250;26;121
100;136;176;105;216;40;250;62;208
50;250;160;226;30;34;250;13;54
100;214;159;151;166;86;250;103;157
150;250;150;180;117;151;201;13;139
150;250;166;179;36;35;204;16;107
150;33;211;35;118;82;89;20;166
150;67;250;90;248;48;175;250;250
200;250;169;189;128;67;250;98;176
100;53;217;96;133;153;204;54;157
