Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;125;208;115;14;35;250;17;22
200;250;16;91;9;29;250;89;117
150;250;12;85;5;29;250;84;119
150;92;244;56;164;102;250;32;205
0;81;164;126;139;118;193;22;162
200;250;50;93;194;43;250;120;146
200;244;161;115;189;72;230;70;200
200;250;190;99;14;38;250;15;31
50;14;250;30;135;102;169;56;250
200;25;184;106;5;11;250;13;35
150;250;206;172;6;18;250;135;22
0;61;184;37;41;57;250;80;52
150;114;170;160;204;74;230;26;207
200;250;168;250;26;101;237;53;84
200;250;45;98;34;14;250;38;104
50;0;250;14;82;85;243;13;178
200;47;170;124;39;167;73;17;137
150;86;40;20;7;57;128;20;105
100;0;154;72;18;72;237;18;80
200;250;89;140;194;43;250;22;170
100;153;219;69;79;57;212;27;115
200;164;149;160;162;61;230;16;197
200;250;89;119;130;119;178;23;121
150;250;90;15;83;68;205;110;128
50;0;250;110;177;154;116;59;250
200;233;119;114;67;133;216;69;70
200;22;154;81;155;61;242;17;199
200;25;191;93;67;129;240;69;47
100;6;192;207;19;98;250;15;36
100;94;183;85;230;60;250;90;214
50;175;209;171;20;39;250;18;23
100;0;149;11;103;101;228;32;123
200;19;187;104;175;65;250;64;182
200;214;151;159;157;95;210;73;181
50;0;238;62;100;182;147;20;147
200;11;250;27;223;239;71;32;250
50;250;110;229;15;40;250;105;70
150;250;109;90;199;31;250;223;171
0;0;219;39;70;249;116;21;74
0;33;140;47;187;250;59;30;174
