Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;250;76;98;81;47;250;29;107
0;3;191;67;30;43;250;15;37
50;31;250;96;115;157;107;30;250
150;250;55;95;23;22;250;23;98
0;33;169;93;10;29;250;24;41
150;172;250;227;49;53;250;20;0
0;0;250;178;23;81;181;52;93
100;61;203;107;179;59;250;88;212
50;250;25;41;80;20;250;14;120
150;128;16;19;137;28;250;4;125
100;142;167;103;57;44;250;22;57
200;100;137;80;33;36;250;20;61
150;250;52;91;37;24;250;22;102
100;250;119;64;213;35;250;194;184
100;147;8;10;93;0;250;13;125
50;89;250;126;142;84;162;36;250
