Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
0;78;101;98;16;87;250;40;77
50;44;250;109;249;250;117;16;250
200;0;0;0;0;0;0;0;0
50;39;250;206;248;250;117;17;250
150;94;89;41;54;211;120;45;114
200;250;84;79;248;194;120;40;154
50;0;162;22;28;38;250;54;44
150;250;10;71;238;199;118;79;128
50;67;95;32;204;96;250;14;167
50;250;202;248;242;247;112;12;207
200;0;0;0;0;0;0;0;0
150;6;170;147;17;117;250;34;52
200;42;249;86;58;115;250;37;11
200;161;129;93;15;39;250;36;67
200;250;59;84;211;95;250;11;148
200;250;16;72;216;96;250;52;132
50;250;41;106;81;86;250;61;121
150;250;14;70;217;96;250;53;131
200;67;250;106;140;231;123;24;205
50;250;157;148;163;179;175;17;152
200;250;159;89;144;250;87;15;174
200;250;49;52;25;176;163;114;107
200;250;22;134;216;250;109;105;133
200;250;14;136;220;250;109;118;130
150;250;143;179;87;96;250;43;131
150;250;135;177;162;123;235;21;178
200;175;110;124;122;108;250;31;111
100;250;79;139;219;113;250;45;163
200;239;48;50;203;64;250;36;140
150;197;78;74;189;74;250;31;148
150;175;177;156;216;250;106;18;208
50;75;216;21;136;250;71;14;219
100;36;250;80;40;83;250;36;0
100;128;135;108;40;91;250;87;85
50;181;119;92;35;72;250;78;77
150;31;220;121;96;89;250;32;99
150;200;143;116;87;96;250;46;131
100;203;175;126;144;105;250;38;145
50;139;138;84;73;206;141;120;109
150;200;143;117;87;96;250;45;131
200;3;223;214;102;77;250;64;158
