Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;8;250;138;51;110;250;33;5
50;122;107;60;53;59;250;36;90
0;250;154;114;53;197;125;19;109
50;0;250;28;59;94;250;35;27
50;31;204;53;9;84;250;35;23
50;28;126;19;74;73;250;37;93
200;0;82;47;155;65;250;33;133
150;8;144;55;161;79;250;53;160
200;211;132;136;49;53;250;23;77
50;231;250;250;243;250;57;29;250
150;250;28;28;24;79;250;19;111
50;0;250;92;58;93;250;33;27
50;8;218;64;65;100;250;34;42
200;250;250;250;240;250;57;20;250
150;0;188;104;0;24;250;146;35
200;89;87;36;75;84;250;24;100
50;161;188;219;243;147;214;35;219
150;111;152;76;45;78;250;24;67
0;25;162;174;246;137;231;22;206
200;250;14;71;105;83;250;52;124
50;0;250;36;54;109;250;34;8
150;250;19;124;34;207;151;98;117
0;131;250;84;180;171;146;14;242
200;128;163;93;10;54;250;39;44
