Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
17;63;222;122;226;128;237;115;50
250;27;158;31;26;250;175;113;150
156;161;155;208;84;250;209;200;200
228;250;148;130;178;113;235;236;150
100;250;108;1;17;250;212;0;0
0;250;215;164;38;126;210;250;0
250;86;217;236;44;250;191;168;200
200;250;183;191;149;140;235;236;200
250;58;170;119;190;154;228;127;150
250;53;186;58;14;250;238;105;100
189;89;213;16;23;250;243;82;150
28;250;219;218;177;167;212;250;50
61;207;139;223;67;223;244;227;150
0;163;198;41;137;232;199;54;150
6;145;216;196;182;163;220;190;0
6;166;218;237;42;250;178;208;200
0;220;216;231;107;201;239;234;150
33;250;170;178;82;119;212;250;0
33;250;213;204;131;231;219;243;0
89;203;169;228;108;183;233;227;50
22;250;170;222;120;199;220;250;0
0;101;243;87;50;146;215;86;50
0;250;201;112;164;115;213;250;0
167;212;191;28;32;250;243;29;0
228;130;177;229;65;250;242;188;100
61;170;207;237;48;248;133;210;150
17;164;115;183;105;242;244;193;0
0;250;221;212;181;148;243;250;0
100;250;195;11;51;250;240;0;0
11;250;197;213;110;225;216;250;50
0;160;215;173;51;123;213;204;50
0;209;200;69;74;93;213;153;50
22;250;222;197;84;141;164;250;150
172;205;127;43;191;104;214;117;100
28;159;179;172;133;118;234;204;0
11;233;179;75;103;98;211;166;250
72;173;209;154;88;250;199;175;150
6;250;156;216;113;202;205;250;0
250;76;226;249;44;250;160;163;50
39;104;195;165;122;172;233;164;200
250;149;149;94;122;111;240;167;200
11;61;221;120;206;132;244;114;50
0;110;223;177;89;137;234;180;0
250;120;223;223;90;229;236;185;100
106;230;175;173;155;189;240;215;0
22;250;178;187;195;162;216;250;0
6;250;178;123;208;101;213;250;0
83;193;185;201;58;221;221;217;0
250;95;228;239;33;250;151;172;150
