Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;82;206;179;41;124;216;163;200
0;250;175;201;84;191;189;250;200
250;60;186;85;43;250;242;123;200
250;95;134;215;55;186;224;162;200
250;62;192;120;105;149;242;133;200
250;95;184;122;105;109;233;165;200
250;44;191;93;125;126;230;110;200
250;69;193;92;124;127;225;121;200
250;58;194;104;129;122;212;126;200
250;60;219;97;114;126;211;123;200
250;56;197;99;127;124;223;123;200
250;54;216;101;115;124;218;124;200
250;51;217;112;75;120;216;125;200
250;48;216;101;116;123;219;124;200
250;45;221;113;70;118;222;126;200
250;50;210;93;112;127;226;121;200
0;250;218;112;61;110;125;250;50
0;229;216;132;64;103;165;237;200
78;67;225;85;81;121;231;144;0
161;87;223;76;127;119;238;92;100
0;250;210;111;76;113;81;239;200
250;51;226;117;133;111;242;112;100
0;246;208;70;107;108;217;164;200
0;249;209;203;112;127;226;245;200
22;80;209;128;111;99;222;160;50
250;43;205;118;110;105;235;142;250
6;250;208;95;96;108;217;215;100
122;173;186;189;105;149;131;202;200
228;72;219;101;79;178;236;124;200
250;119;167;132;86;109;235;180;200
50;74;216;99;111;133;210;101;150
33;243;220;215;93;145;69;246;200
222;53;221;114;95;165;230;127;200
250;74;185;146;97;117;231;159;200
250;34;207;113;95;133;233;117;200
11;250;204;147;99;120;166;250;200
211;104;204;214;85;159;233;176;50
200;173;144;104;98;108;240;184;250
6;250;174;182;80;127;216;250;250
250;56;185;111;52;250;238;134;200
250;140;150;154;93;152;235;161;150
39;157;201;185;77;121;140;199;0
22;193;203;150;95;118;241;219;0
250;54;189;105;107;153;238;111;100
133;250;162;155;79;124;188;250;100
6;163;204;149;86;119;197;205;0
250;96;174;65;112;141;236;83;100
89;37;217;152;76;131;244;124;150
250;250;190;215;116;129;0;250;150
250;202;197;191;90;158;120;213;200
250;47;189;71;84;186;230;113;200
250;80;178;155;95;150;225;150;50
250;82;176;167;95;156;235;156;200
250;60;195;173;92;154;221;146;200
250;51;202;105;107;146;242;128;200
250;55;193;123;110;129;243;129;200
17;40;228;99;97;124;231;123;200
22;42;226;118;126;113;231;126;50
94;250;162;211;95;155;123;250;200
117;88;188;126;106;148;222;135;150
250;111;198;153;94;165;155;160;200
250;114;180;126;96;111;236;176;250
11;165;233;192;123;129;226;206;0
250;104;166;166;102;146;243;163;200
250;250;0;1;9;250;242;0;200
33;250;172;207;87;163;163;249;200
250;150;156;97;110;114;241;167;100
144;90;204;75;106;139;232;114;200
250;60;191;106;120;131;231;124;200
178;49;225;99;78;135;220;123;50
250;99;158;238;21;213;229;174;150
250;149;182;192;60;149;105;193;200
250;94;168;126;100;157;199;139;200
250;45;201;55;110;125;229;124;0
250;67;195;152;98;144;216;146;100
250;146;144;173;89;168;158;182;200
250;63;196;101;69;173;209;120;200
250;93;167;141;105;157;228;147;150
250;94;182;123;107;117;238;160;100
156;198;239;166;33;124;70;222;250
250;33;184;97;50;250;217;123;0
6;250;192;108;120;103;103;238;0
61;134;221;156;140;165;196;169;0
0;158;203;138;99;104;233;199;0
139;250;158;136;97;112;235;250;200
250;68;198;103;130;121;242;105;200
250;160;86;3;9;250;246;45;200
22;228;214;220;73;185;173;235;200
250;76;199;154;132;110;231;159;50
39;205;232;202;63;167;48;222;200
250;44;200;95;93;169;232;122;50
