Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;250;210;16;57;250;216;0;0
250;149;115;92;58;250;238;114;200
156;203;197;245;27;214;243;226;0
0;173;211;146;89;250;217;156;0
250;107;158;101;81;250;226;124;150
250;220;103;132;84;250;231;157;200
89;162;158;154;87;250;226;161;150
250;70;193;38;106;250;234;98;150
250;133;105;244;250;77;238;186;200
6;250;179;12;97;250;198;0;100
250;136;140;90;49;250;231;109;200
250;107;218;98;250;97;232;115;0
83;250;195;30;84;250;241;0;0
250;232;101;85;81;250;237;99;100
72;130;229;164;90;250;241;170;150
122;164;151;32;117;250;233;62;100
78;250;202;29;84;250;227;0;50
233;148;216;65;192;180;218;69;100
250;250;203;16;88;250;234;0;100
128;209;203;21;59;250;231;33;0
0;172;179;144;107;250;211;156;150
72;181;198;66;212;163;227;65;150
67;250;208;11;63;250;223;0;100
167;123;232;201;98;250;232;180;200
250;164;131;89;43;250;227;108;200
250;176;157;112;87;250;242;136;100
217;163;125;84;82;250;240;105;200
250;187;97;21;119;250;236;31;100
178;189;192;37;33;250;227;52;100
250;167;129;69;85;250;219;91;200
250;140;148;95;56;250;216;119;0
133;150;213;130;100;250;156;140;100
22;234;129;38;140;248;209;20;150
194;195;164;160;92;250;212;175;0
0;167;215;150;92;250;212;159;0
6;250;192;21;89;250;211;0;100
250;48;221;218;121;250;244;148;0
250;232;172;25;94;250;232;26;100
0;250;169;36;53;250;241;10;100
144;151;208;122;131;250;210;134;0
250;250;171;34;43;250;233;26;200
28;198;117;103;91;250;241;129;200
250;52;194;204;106;250;245;143;200
250;175;100;19;123;250;237;38;100
250;121;212;172;183;185;167;169;200
250;181;171;21;95;250;230;46;100
250;180;188;144;111;250;207;158;200
250;162;110;78;89;250;241;106;100
