Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
33;136;223;175;54;250;242;172;0
6;250;229;48;0;250;142;39;200
122;165;135;59;48;250;243;78;100
17;60;204;135;65;250;238;133;250
33;250;172;23;27;250;161;0;200
0;250;232;37;60;250;219;15;50
6;209;211;62;41;250;217;76;0
0;133;214;178;65;250;240;174;200
92;218;158;220;60;250;196;220;200
142;99;201;125;62;250;244;133;50
8;146;235;99;41;250;231;124;50
0;201;224;49;54;250;135;60;0
3;236;181;48;43;250;230;46;100
42;140;228;25;45;250;244;65;200
142;17;238;197;68;250;232;131;200
122;250;0;164;250;29;237;250;200
56;181;196;146;55;250;240;162;200
250;102;200;125;103;163;232;111;200
17;192;219;43;16;250;209;58;100
