Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
22;210;174;22;69;244;210;20;0
8;88;193;74;135;105;218;83;0
0;250;215;20;38;250;210;0;0
0;250;209;23;38;250;209;0;0
158;77;207;30;104;151;241;99;200
39;155;202;67;103;140;231;115;50
22;219;224;142;41;250;214;164;0
0;244;219;119;51;250;234;146;0
0;250;201;41;41;250;210;0;50
6;250;154;44;40;250;213;0;0
250;28;208;42;99;109;182;112;0
197;165;149;164;90;191;207;156;50
250;129;210;55;99;138;240;111;100
0;233;222;161;47;250;227;192;0
0;250;224;32;31;250;230;9;50
25;242;150;76;43;250;215;69;0
11;250;189;31;54;250;213;0;0
250;28;218;156;250;44;246;135;100
19;250;226;97;0;218;217;144;100
6;250;227;35;0;250;214;0;0
