Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
233;138;126;58;115;133;242;114;100
78;199;220;55;133;113;183;77;200
250;52;191;59;81;151;235;125;100
0;204;199;83;74;211;131;91;0
233;215;122;104;105;132;229;169;100
250;220;152;134;110;133;234;203;100
0;163;216;71;95;150;216;58;0
250;176;120;81;87;150;239;147;100
0;195;214;54;143;111;184;78;200
250;237;134;198;81;175;187;234;100
0;250;185;176;107;133;225;250;100
39;250;200;138;105;132;241;228;200
250;178;166;49;69;159;231;122;50
39;241;162;152;111;132;243;228;50
6;250;222;182;102;134;160;250;100
22;112;205;89;78;159;224;144;100
250;86;178;165;53;250;220;137;200
61;227;117;101;74;168;238;188;100
239;153;181;17;65;217;245;55;200
50;224;206;131;111;132;225;202;100
167;250;212;219;153;103;238;250;100
250;84;172;116;62;250;196;128;0
250;68;197;79;66;212;240;115;100
189;250;142;3;17;250;242;0;150
250;152;114;97;70;162;237;164;200
0;186;223;73;84;186;211;93;100
0;173;233;77;104;151;163;58;100
0;185;213;56;141;112;192;81;200
33;190;201;130;81;164;182;198;0
0;142;201;93;58;243;220;109;0
6;118;217;102;62;242;165;99;0
6;82;205;189;70;188;245;153;200
250;82;173;71;52;250;192;108;0
250;98;171;103;66;214;130;121;0
50;160;181;226;39;250;219;196;200
78;171;144;129;89;152;185;191;200
250;220;132;64;79;149;244;135;100
17;194;212;56;141;112;185;81;0
217;250;152;158;100;132;241;242;150
250;205;119;49;105;133;220;98;200
250;137;130;87;74;162;237;152;100
0;189;219;163;100;136;241;210;0
0;188;207;83;74;211;153;94;0
0;250;215;143;104;133;242;250;100
56;213;211;88;89;151;235;162;100
