Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
136;180;156;134;56;144;217;190;200
114;186;126;52;39;163;219;126;200
233;250;0;3;29;250;224;0;100
131;91;191;51;42;133;237;114;250
42;72;214;165;31;248;212;151;0
156;166;165;72;34;156;219;59;100
136;166;177;70;23;163;221;58;100
103;214;151;128;60;127;223;200;0
214;231;206;172;31;250;61;218;100
242;158;120;88;22;163;221;164;100
161;169;163;71;30;167;219;57;100
39;200;150;131;56;211;229;171;200
6;149;132;85;42;162;235;153;100
158;161;168;78;46;162;242;148;0
33;250;167;41;72;164;227;96;0
128;163;157;66;105;153;232;89;100
167;162;162;69;33;163;218;58;100
147;168;169;72;27;164;218;58;100
14;250;0;4;19;250;228;0;0
250;88;162;93;57;132;191;137;200
6;188;167;146;68;125;239;200;150
161;245;122;144;41;185;236;199;200
42;154;181;75;41;190;229;94;200
