Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
3;250;92;35;15;250;185;0;0
250;199;226;105;16;250;29;123;200
44;170;221;145;21;250;232;159;50
250;92;160;28;28;250;231;89;200
0;87;216;140;40;185;238;124;0
89;95;217;35;48;237;202;78;200
250;250;0;29;15;250;243;0;50
119;250;0;24;37;250;242;0;100
103;110;182;122;13;250;201;145;0
6;114;215;20;8;250;179;68;200
250;52;212;207;17;250;236;144;200
