Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;135;146;87;54;250;216;127;100
0;83;225;203;126;134;244;163;0
250;135;146;87;54;250;216;127;50
250;136;146;87;54;250;216;127;50
250;135;146;87;54;250;216;127;200
250;135;146;87;54;250;216;127;100
250;135;146;87;54;250;216;128;100
19;218;213;88;39;250;210;90;0
250;135;146;87;54;250;216;128;100
0;190;236;45;44;250;210;49;0
250;135;146;87;54;250;216;127;50
0;208;220;99;37;250;210;108;0
250;135;146;87;54;250;216;127;50
250;135;146;87;54;250;216;127;50
6;203;213;146;45;250;221;170;50
