Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;71;169;137;116;141;188;140;200
194;210;130;44;192;100;238;121;250
156;67;227;224;80;139;230;158;50
44;107;210;151;119;156;234;157;200
250;103;170;119;81;122;189;167;200
250;63;206;92;166;130;236;102;200
250;88;195;92;179;127;241;120;200
250;78;232;96;103;124;230;127;150
72;213;131;70;137;107;223;166;200
250;58;207;94;194;106;229;106;250
133;197;174;158;148;150;243;182;0
250;84;201;219;64;221;223;166;200
250;89;172;144;118;151;227;149;200
172;150;164;93;114;109;231;165;200
206;57;227;95;0;125;219;106;250
250;93;201;108;69;250;239;105;200
250;117;212;243;22;179;223;182;200
250;136;149;106;127;118;235;165;200
250;38;222;87;87;123;194;109;200
122;110;177;104;218;117;234;128;200
250;52;204;104;137;129;194;124;200
250;44;204;116;145;129;216;127;200
250;72;202;77;117;139;234;117;200
250;51;237;135;125;118;224;130;200
61;73;190;78;101;118;235;132;200
250;250;147;190;74;250;229;239;200
211;186;168;110;120;121;244;184;250
50;114;199;142;121;144;231;158;200
28;102;212;89;130;150;230;122;50
250;34;205;101;133;129;228;125;200
250;55;193;98;141;133;242;123;200
0;77;190;103;122;145;240;128;0
250;44;226;101;69;131;211;122;100
6;140;176;107;218;118;226;129;200
133;163;128;39;136;107;235;125;250
22;206;195;214;86;156;235;227;200
133;87;187;120;140;143;244;135;50
233;46;222;110;156;111;238;129;50
189;250;157;121;119;114;196;230;200
6;142;184;67;157;141;195;94;200
250;93;176;123;117;150;229;141;200
250;53;213;97;119;150;225;122;200
250;41;215;100;126;131;228;126;200
167;60;197;90;135;133;239;120;150
67;123;149;93;164;151;237;119;250
22;250;212;131;126;114;187;250;0
250;247;213;234;40;205;236;248;200
67;193;156;108;118;113;236;192;200
250;53;244;110;200;110;211;110;250
