Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
33;232;210;16;42;250;244;19;0
11;193;208;158;44;250;230;172;0
183;73;205;33;48;250;219;95;200
8;208;114;79;41;250;229;94;200
0;219;99;102;40;250;236;126;200
8;172;167;148;50;250;240;159;200
197;135;129;133;67;250;228;137;200
17;167;191;53;44;250;222;77;200
250;144;229;177;55;250;221;172;200
8;250;173;15;42;250;240;0;200
3;107;191;185;22;250;220;170;0
14;204;207;155;44;250;185;173;50
58;204;189;11;24;250;228;26;0
42;172;212;55;40;250;194;78;100
0;193;198;158;44;250;200;173;0
250;129;150;59;42;250;187;88;250
172;157;156;42;40;250;229;72;250
14;224;138;247;81;215;239;237;100
17;223;198;22;42;250;232;26;200
8;178;202;146;57;250;190;159;0
72;225;159;86;40;250;239;104;200
250;156;124;52;40;250;240;80;150
