Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
11;182;244;153;94;250;232;166;0
250;76;234;6;68;150;162;112;0
144;172;192;33;160;198;228;43;100
83;250;146;59;93;250;186;29;250
250;36;160;246;97;66;197;129;150
28;250;157;43;94;250;217;0;0
0;250;181;29;80;250;223;0;0
250;41;90;249;250;76;101;143;200
67;250;200;10;32;250;204;0;250
67;243;214;84;72;250;219;81;250
250;83;176;229;87;250;233;161;200
56;249;199;78;70;250;221;70;0
250;184;59;249;250;69;243;217;150
250;113;181;95;132;250;243;97;100
250;36;165;244;250;83;187;138;150
250;24;118;244;250;93;142;134;200
144;133;202;40;139;250;228;65;150
250;60;158;242;131;67;213;128;150
250;70;221;49;152;154;228;91;200
56;250;180;34;33;250;215;0;150
250;97;161;118;89;250;222;128;150
61;162;216;70;140;237;220;58;0
250;21;161;24;250;83;140;115;200
250;14;205;24;250;83;193;118;200
6;250;182;54;88;250;218;32;150
250;42;192;237;78;250;234;144;200
6;139;194;99;81;250;232;109;0
0;250;226;108;79;250;219;153;200
0;185;239;105;67;250;220;112;200
11;85;235;164;98;250;244;150;50
250;250;0;231;250;65;244;250;0
161;76;221;182;83;250;215;146;200
11;144;225;112;82;250;243;129;150
6;250;222;90;88;250;221;108;150
72;114;231;177;102;250;218;153;100
122;108;240;125;0;250;244;122;0
