Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;192;32;1;6;250;224;29;50
250;12;227;174;15;250;239;128;200
0;156;173;241;35;250;242;203;100
61;250;188;222;36;224;0;250;250
3;182;147;152;78;117;209;207;50
8;165;183;121;82;108;236;163;250
250;76;158;99;80;112;226;117;50
94;250;120;113;71;111;210;250;200
3;249;157;81;71;109;209;166;100
122;250;133;106;87;105;211;221;200
250;131;142;79;91;113;236;146;200
250;84;173;86;109;81;213;132;100
250;74;164;110;80;120;235;114;200
25;120;149;84;70;108;243;157;200
81;38;221;92;58;90;238;132;0
250;63;178;100;131;77;236;122;100
242;153;136;71;73;110;240;153;200
153;58;216;128;129;96;216;117;200
67;183;192;224;45;250;109;216;200
131;212;144;136;79;103;238;208;200
250;250;0;16;12;250;239;0;100
64;250;28;7;32;250;241;0;50
233;160;122;113;73;110;226;188;200
3;79;210;165;64;100;210;107;200
153;107;193;104;13;107;226;159;200
250;30;196;92;79;107;223;114;50
250;35;243;141;34;121;208;112;200
197;154;153;59;95;118;229;106;200
250;250;0;19;29;250;241;0;200
67;241;133;216;88;175;209;241;200
239;68;185;143;51;175;240;141;200
247;107;170;126;67;106;237;162;200
228;151;142;53;74;105;244;137;200
172;88;190;87;134;99;233;111;150
250;250;0;22;22;250;242;0;200
208;149;151;69;74;100;244;148;50
11;210;194;37;104;95;212;106;100
250;67;170;111;63;188;196;108;200
92;187;184;61;117;125;233;79;200
250;126;152;92;92;107;239;160;200
250;38;192;106;88;125;229;113;200
136;103;181;83;78;107;207;152;250
189;161;141;57;82;104;229;138;0
8;72;219;134;58;119;209;99;100
250;115;151;58;69;99;228;127;50
250;102;142;62;64;110;238;126;200
250;44;209;135;102;103;239;121;200
250;58;184;120;92;132;240;113;100
250;53;191;78;69;118;237;103;200
250;57;191;115;78;108;244;147;200
250;43;199;115;95;126;241;114;50
131;209;144;118;40;112;241;205;200
172;86;167;66;77;113;241;97;200
250;93;156;86;84;106;241;148;200
164;206;140;101;47;112;242;193;200
233;77;193;92;108;97;234;108;200
250;67;176;86;60;104;238;142;250
33;62;230;138;60;118;206;103;0
167;164;161;86;98;99;239;138;0
