Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;14;227;178;37;250;241;128;200
0;157;173;242;69;250;242;204;200
250;250;189;224;98;237;0;250;250
6;179;145;154;159;118;209;205;50
250;28;208;84;39;250;182;121;50
61;153;174;122;209;107;238;160;200
250;77;160;101;149;111;230;118;150
189;250;120;113;143;111;208;250;200
6;249;157;81;141;109;209;166;100
244;250;133;106;171;105;211;221;200
250;131;142;79;183;113;236;145;200
250;84;174;88;229;80;213;132;150
250;75;165;112;137;120;235;114;200
22;121;149;84;142;108;242;157;200
217;39;221;93;126;89;237;132;0
250;65;177;98;250;78;236;122;100
250;153;136;71;145;110;240;153;200
211;63;222;128;238;95;205;117;200
133;182;198;225;90;250;101;216;200
250;208;139;148;236;105;237;207;200
250;250;0;15;25;250;244;0;200
72;248;150;219;100;171;200;248;100
250;160;122;113;146;110;226;188;200
11;80;210;166;127;100;209;106;200
250;107;193;104;27;107;226;160;200
250;30;197;93;155;108;224;114;150
250;36;243;142;34;120;208;111;200
250;167;138;56;164;118;227;107;200
250;250;0;19;58;250;241;0;200
133;241;133;216;177;174;210;241;200
250;69;185;143;101;175;239;142;200
250;107;170;128;125;106;238;162;200
250;152;142;53;148;105;244;137;200
217;93;213;90;186;95;216;109;150
250;250;0;22;43;250;244;0;200
217;156;188;182;126;118;246;203;200
250;149;151;69;148;100;244;148;150
17;211;194;37;211;94;210;106;100
250;69;162;117;126;185;201;109;200
183;187;184;61;233;125;233;79;200
250;126;152;92;185;107;240;160;200
250;39;193;106;171;124;232;113;200
6;250;163;236;142;159;180;250;150
250;103;181;83;156;107;207;152;250
250;138;146;62;201;102;229;131;0
22;73;219;134;117;119;208;98;100
250;117;151;58;144;99;230;126;50
250;103;141;62;139;111;241;124;200
250;45;209;134;204;103;239;120;200
250;161;133;71;154;108;244;156;0
250;59;185;120;184;132;241;113;100
250;53;191;78;138;118;237;103;100
250;45;201;116;195;126;243;113;50
250;209;144;119;80;112;241;205;200
250;87;167;66;154;113;241;97;200
250;94;156;86;169;106;241;148;200
250;206;140;101;93;112;242;193;200
250;82;191;89;221;98;234;107;200
250;69;176;86;120;104;239;142;250
78;62;230;139;120;118;206;103;0
