Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;17;221;86;28;250;212;122;200
14;120;231;158;87;157;237;168;50
69;140;214;212;24;250;235;186;200
6;150;237;220;84;182;240;200;0
158;44;224;225;20;250;210;146;100
6;250;205;204;98;161;212;250;0
78;131;183;189;31;220;209;182;50
250;134;110;82;24;250;216;122;100
14;142;218;117;56;124;190;186;50
3;178;216;164;55;250;220;193;0
0;201;226;199;52;175;211;221;0
0;224;226;199;50;175;210;233;50
0;250;225;184;94;168;213;250;50
17;250;184;225;79;187;216;250;0
58;176;215;209;54;250;193;205;0
22;250;223;200;105;160;215;250;50
128;129;192;216;37;250;243;188;0
53;140;218;152;93;154;243;173;50
250;57;168;227;24;250;209;153;200
189;142;165;223;76;187;223;195;50
136;182;198;161;44;250;232;181;0
250;135;110;82;26;250;216;122;50
175;96;194;232;53;236;242;165;50
8;92;238;158;56;104;239;171;200
200;227;98;20;29;250;242;19;0
250;77;164;69;84;168;241;91;100
0;196;230;126;57;125;243;216;50
83;88;222;234;58;219;242;169;200
183;179;138;169;84;180;238;190;0
250;191;213;37;37;250;242;44;200
250;138;180;184;60;250;224;179;200
250;125;134;161;67;142;241;182;50
78;189;148;181;41;133;209;219;50
3;168;242;219;58;250;184;208;0
33;147;226;169;87;161;242;186;0
0;250;229;210;70;222;212;247;0
117;169;157;222;70;193;242;209;0
0;250;219;225;48;190;210;250;50
250;135;110;82;24;250;216;122;200
0;129;238;107;78;145;241;130;0
0;172;172;222;56;161;240;210;0
3;250;200;205;95;169;212;250;0
3;250;130;232;72;206;187;250;50
181;112;188;108;64;145;237;123;50
250;87;157;160;71;185;241;153;50
14;184;221;128;71;155;209;152;0
