Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
150;81;206;179;20;124;217;162;200
0;250;174;201;42;191;190;250;200
250;59;186;85;21;250;242;123;200
250;96;134;215;28;185;224;162;200
250;60;191;120;52;149;242;133;200
225;92;185;122;52;109;232;164;200
250;44;191;93;62;126;230;110;200
250;68;193;92;62;127;225;121;200
250;58;193;104;65;122;212;126;200
139;60;219;97;57;126;211;123;200
250;57;197;99;64;124;222;123;200
183;54;216;101;57;124;218;124;200
250;40;214;108;65;121;225;125;200
208;48;216;101;58;123;219;124;200
181;44;221;113;41;118;223;126;200
250;49;210;93;56;127;226;121;200
0;250;217;112;30;110;125;250;50
0;227;216;132;32;103;170;236;200
36;66;223;84;39;121;231;144;0
83;86;223;77;67;119;238;93;100
0;250;210;111;38;112;82;239;100
0;246;208;69;53;108;217;164;200
0;249;209;203;56;127;226;245;200
22;78;209;126;53;101;225;158;50
250;43;204;117;55;105;236;141;250
3;250;209;95;48;108;217;215;100
61;173;187;189;53;149;130;202;200
122;70;218;102;40;177;235;125;200
222;119;168;132;43;109;235;180;200
25;72;217;100;56;133;212;101;50
17;240;218;215;47;144;76;244;200
122;52;220;114;48;165;230;128;200
250;73;185;146;48;117;232;159;200
250;31;208;114;44;133;233;118;200
6;250;204;147;50;120;167;250;200
108;104;203;214;43;158;233;177;200
100;173;144;104;49;108;240;184;250
3;250;174;182;40;127;217;250;250
250;55;185;111;26;250;237;134;100
17;157;201;185;39;121;140;200;0
11;191;203;150;47;118;242;218;0
250;52;189;106;54;152;237;111;100
67;250;162;156;40;125;190;250;200
3;161;205;149;44;119;199;204;0
156;95;174;65;56;141;236;83;100
61;37;214;148;38;132;244;124;50
250;250;191;215;61;129;0;250;50
250;200;198;191;45;158;118;213;200
250;41;192;73;43;182;229;116;200
250;79;178;155;47;150;226;150;50
211;80;176;167;48;156;236;155;200
250;59;195;172;46;154;222;146;200
139;49;202;105;54;146;244;128;200
250;55;192;123;55;129;243;129;200
6;38;227;99;55;124;234;123;200
22;42;223;119;63;112;233;127;50
47;250;163;211;47;155;128;249;200
47;87;187;126;53;148;223;135;50
136;111;199;153;47;165;154;160;200
194;112;180;126;48;111;238;175;250
0;230;171;142;48;110;226;235;0
231;103;166;166;51;147;244;163;200
250;250;0;1;4;250;240;0;200
17;250;170;207;44;162;167;249;200
186;149;156;97;55;114;240;167;100
75;89;204;74;53;140;232;114;200
250;59;190;105;60;132;232;124;200
125;47;219;96;52;136;226;122;50
250;149;182;193;32;148;105;193;200
250;94;167;126;50;156;199;139;200
250;46;201;54;55;126;229;124;0
250;66;195;152;49;144;216;146;100
250;146;144;172;44;168;158;182;200
250;58;192;113;34;165;218;125;200
247;93;166;141;52;157;229;147;50
236;93;181;123;53;116;236;160;100
78;194;235;166;16;124;84;220;250
3;250;192;107;60;103;103;238;0
3;246;148;110;60;110;196;223;0
3;158;203;138;51;104;233;199;0
69;250;158;136;49;112;235;250;200
250;66;198;103;65;122;241;106;250
250;158;86;3;4;250;244;46;200
14;226;213;220;36;185;176;234;200
192;75;198;152;66;110;230;158;50
250;43;200;96;47;168;233;122;50
