Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;69;168;137;60;141;188;140;200
17;105;209;151;59;156;236;156;200
250;102;170;119;41;122;189;166;200
250;61;209;92;83;129;237;103;200
169;87;196;92;89;127;241;120;200
178;74;231;96;54;125;234;126;50
39;213;131;70;68;107;223;166;200
158;58;206;94;97;107;229;106;250
64;195;175;157;74;150;244;181;0
142;85;201;219;32;221;223;166;200
233;88;172;144;59;151;229;149;200
89;150;164;93;57;109;231;165;200
103;57;227;95;5;125;219;106;250
250;89;199;110;34;250;241;107;100
244;137;149;105;63;118;236;165;200
250;38;222;87;43;123;194;109;200
103;107;178;105;109;116;234;129;200
250;52;203;104;68;129;194;124;200
250;44;203;116;72;129;217;127;200
192;70;202;77;58;138;233;117;200
250;50;238;135;69;118;224;130;200
31;73;190;78;50;118;235;132;250
250;250;146;190;37;250;229;239;200
106;186;167;110;60;120;244;184;250
14;127;201;232;32;247;223;188;0
31;112;201;143;61;142;233;158;200
0;101;213;89;65;150;231;122;50
250;30;206;100;66;129;224;124;200
250;54;193;98;70;133;242;123;200
3;77;191;103;61;146;241;128;0
161;45;223;101;51;132;216;122;100
69;163;128;39;68;107;235;125;250
17;204;193;214;43;157;234;226;200
92;85;190;120;70;143;246;135;50
142;44;222;109;77;111;238;129;50
94;250;157;121;59;114;196;230;200
3;143;184;67;78;142;193;94;200
231;93;176;123;58;150;229;141;200
161;52;212;97;59;150;227;123;200
106;45;223;127;47;143;225;128;200
250;41;214;100;63;131;230;126;200
58;120;150;93;82;151;240;120;250
11;250;212;131;63;114;187;250;0
186;192;136;52;13;250;230;48;200
250;246;212;234;20;203;237;248;200
33;193;156;108;59;113;236;192;200
250;52;245;110;100;110;213;111;250
