Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
22;148;214;5;16;250;241;52;200
67;135;148;61;28;250;227;86;50
250;103;171;53;49;250;216;88;200
250;64;183;118;26;250;240;126;200
250;82;181;103;24;250;240;118;50
156;250;117;29;42;250;224;0;200
39;145;216;16;39;250;241;59;0
250;240;0;249;250;28;236;245;100
250;94;185;5;63;192;220;79;200
36;161;154;23;54;250;225;45;200
111;60;221;1;43;250;210;96;250
3;221;193;108;37;250;235;123;250
164;89;180;69;32;250;231;104;200
36;188;223;114;38;250;221;130;250
0;250;212;189;165;94;233;250;0
0;179;226;38;37;250;243;57;100
114;62;229;179;43;250;232;142;200
3;61;224;32;37;250;233;100;200
3;250;216;52;38;250;220;21;250
28;249;135;4;23;250;205;1;200
56;250;104;178;157;95;244;250;0
14;175;228;47;33;250;209;64;100
156;130;229;131;44;250;226;136;250
0;144;217;46;36;250;235;74;200
22;139;178;141;43;250;240;145;50
17;114;201;117;5;250;243;126;200
183;82;198;61;11;250;241;99;200
83;108;225;214;44;250;215;171;200
250;51;189;48;38;250;229;108;200
250;52;185;192;43;250;235;142;250
0;250;145;2;13;250;228;0;200
250;39;198;189;45;250;236;138;250
250;88;176;77;40;250;241;106;200
0;167;181;59;36;250;224;76;200
19;250;218;196;142;95;243;250;200
92;250;201;25;43;250;210;9;200
0;149;208;62;8;250;215;83;200
6;250;112;250;250;28;247;250;50
39;205;209;11;17;250;189;28;250
0;195;155;128;24;250;208;149;250
64;250;144;68;38;250;220;59;200
0;250;36;186;162;95;244;250;200
25;250;168;28;18;250;192;0;250
117;112;203;61;19;250;243;90;0
83;143;208;185;45;250;214;179;100
56;112;210;182;46;250;226;161;200
250;56;186;87;47;250;237;116;200
250;88;162;118;32;250;237;126;200
69;74;231;40;28;250;239;97;0
250;51;175;118;46;250;214;126;100
250;57;190;190;45;250;235;144;250
