Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
0;129;194;38;97;250;237;64;50
44;149;214;5;33;250;241;52;200
122;135;148;61;55;250;227;86;150
250;103;171;53;98;250;216;88;200
250;64;183;118;52;250;240;126;200
250;82;181;103;49;250;240;118;150
206;250;161;7;100;250;143;0;150
250;250;116;29;85;250;223;0;200
78;145;216;16;79;250;241;59;0
250;94;185;5;127;192;220;79;200
72;161;154;23;108;250;225;45;200
222;59;222;3;87;250;209;97;250
6;221;193;108;75;250;235;123;250
250;89;180;69;65;250;231;104;200
72;188;223;114;76;250;221;130;250
250;222;146;57;95;250;243;51;200
0;250;212;189;250;94;233;250;0
0;179;226;38;74;250;243;57;100
228;62;229;179;86;250;232;142;200
6;61;224;33;74;250;233;100;200
6;250;216;52;76;250;220;21;250
56;249;135;4;46;250;205;1;200
111;250;104;178;250;95;244;250;0
28;175;228;47;67;250;209;64;100
250;30;206;186;94;250;232;134;200
250;32;224;81;90;250;213;116;200
17;101;232;37;81;250;238;76;200
250;130;229;131;89;250;226;136;250
0;144;217;46;73;250;235;74;200
44;139;178;141;85;250;240;145;50
33;114;201;118;12;250;243;126;200
250;82;198;61;21;250;241;99;200
89;150;211;68;0;250;244;88;150
167;108;225;214;88;250;215;171;200
250;51;191;48;76;250;230;108;200
250;52;185;192;86;250;235;142;250
0;250;145;2;28;250;228;0;200
250;39;198;189;90;250;236;138;250
250;88;176;77;80;250;241;106;200
0;167;181;59;73;250;224;76;200
39;250;218;196;250;95;243;250;200
183;250;201;25;87;250;210;9;200
0;149;208;62;16;250;215;83;50
78;205;209;11;34;250;189;28;250
0;195;155;128;48;250;208;149;250
128;250;144;68;76;250;220;59;200
0;250;36;186;250;95;244;250;200
50;250;168;28;36;250;192;0;250
83;92;219;219;88;250;235;166;150
233;112;203;61;38;250;243;90;0
167;143;208;185;90;250;214;179;100
250;54;186;88;95;250;237;116;200
250;88;162;118;65;250;237;126;200
144;75;230;40;54;250;239;97;0
250;51;175;118;93;250;214;126;100
250;57;190;190;91;250;235;144;250
