Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
117;246;134;42;20;250;238;37;0
89;250;235;210;96;173;243;250;200
225;206;167;33;48;250;240;43;100
147;191;97;10;31;250;202;37;100
3;245;167;32;41;250;230;29;200
183;183;121;66;37;250;218;83;100
39;185;215;242;68;250;204;214;200
164;217;131;27;36;250;228;36;150
153;214;138;86;19;250;155;94;100
3;194;173;19;36;250;236;38;0
0;231;206;227;136;126;180;238;0
56;230;195;31;24;250;234;31;0
78;246;184;44;45;250;213;37;100
0;192;142;17;60;250;220;42;0
250;216;229;122;78;121;244;215;0
3;250;94;37;61;250;232;29;100
92;250;161;60;43;250;244;52;0
100;250;108;63;36;250;230;57;0
250;185;145;40;49;250;240;60;0
97;178;138;54;55;250;227;80;50
14;250;237;208;0;186;242;250;50
156;180;153;58;27;250;221;74;100
222;164;133;44;36;250;234;70;50
244;187;158;21;49;250;236;43;100
111;250;86;62;37;250;215;59;100
14;118;150;1;9;250;235;69;0
250;163;146;10;36;250;235;44;100
233;193;171;37;36;250;223;51;200
156;165;151;76;37;250;223;97;100
147;229;106;69;37;250;215;78;100
44;250;176;49;20;250;240;35;0
250;33;234;35;39;250;236;109;200
158;250;110;93;40;250;211;112;200
158;182;109;211;63;250;219;205;100
69;166;201;219;66;250;244;207;200
208;205;120;66;26;250;212;80;100
14;250;166;28;54;250;209;15;0
219;203;157;32;50;250;236;43;200
219;183;107;76;37;250;236;95;150
114;182;181;244;57;250;207;211;50
3;135;197;110;51;250;203;125;0
211;250;151;51;25;250;236;43;0
69;225;190;48;32;250;232;47;0
114;229;99;92;37;250;224;109;200
17;160;225;195;53;250;215;196;50
22;205;159;28;61;250;226;46;0
194;233;96;49;30;250;243;58;0
6;237;94;36;60;250;224;39;0
233;173;121;62;28;250;231;85;100
17;206;211;39;40;250;228;49;0
117;238;141;39;37;250;213;37;100
0;188;162;39;39;250;225;58;0
64;217;197;46;42;250;226;47;0
169;139;156;70;62;250;231;94;100
0;224;141;118;36;250;187;145;0
250;169;100;141;250;30;243;209;50
92;158;135;2;21;250;241;47;100
156;250;150;46;36;250;236;31;0
250;81;174;49;63;250;239;99;50
153;250;85;86;37;250;212;101;200
19;195;176;24;47;250;239;43;0
