Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;135;146;87;108;250;216;127;100
6;83;227;202;250;136;243;164;0
250;135;146;87;108;250;216;127;100
250;136;146;87;108;250;216;127;150
250;135;146;87;108;250;216;127;200
250;135;146;87;108;250;216;127;100
250;135;146;87;108;250;216;128;100
0;197;237;95;82;250;210;99;0
250;135;146;87;108;250;216;128;100
0;190;236;45;88;250;210;49;0
250;135;146;87;108;250;216;127;150
0;208;220;99;75;250;210;108;0
250;135;146;87;108;250;216;127;200
11;138;183;96;116;250;233;101;150
250;135;146;87;108;250;216;127;100
11;203;213;146;90;250;221;170;50
