Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
233;246;134;42;40;250;238;37;0
250;110;178;192;83;250;211;160;150
250;130;127;97;78;250;194;123;0
178;250;235;210;193;173;243;250;200
250;206;167;33;97;250;240;43;100
250;191;98;10;63;250;203;37;100
11;245;167;32;82;250;230;29;200
250;183;120;66;73;250;218;82;150
78;185;215;242;136;250;204;214;200
250;217;131;27;72;250;228;36;150
250;214;138;86;38;250;155;94;150
11;194;173;19;72;250;236;38;0
250;125;224;231;130;250;241;187;150
111;230;195;31;49;250;234;31;0
156;246;184;44;90;250;213;37;100
0;192;142;17;120;250;220;42;0
250;218;232;121;151;119;242;217;0
6;250;94;37;122;250;232;29;100
183;250;160;60;86;250;244;52;0
200;250;108;63;73;250;230;57;0
250;185;145;40;98;250;240;60;0
200;177;138;54;109;250;226;80;150
28;250;237;208;0;186;242;250;150
250;179;152;58;52;250;220;74;100
250;164;133;44;72;250;234;70;150
244;182;177;241;110;250;208;211;150
250;187;157;21;98;250;236;43;100
217;250;86;62;74;250;214;58;100
33;118;150;1;19;250;235;69;0
250;193;171;37;73;250;223;51;200
250;165;151;76;75;250;223;97;100
250;229;106;69;74;250;215;78;100
89;250;175;49;37;250;240;34;0
250;43;237;33;77;250;243;104;200
11;120;142;62;121;250;238;94;50
250;250;111;93;80;250;208;112;200
250;182;109;211;126;250;219;205;200
222;132;222;10;85;250;194;60;200
139;166;201;219;132;250;244;207;200
250;205;120;66;52;250;212;80;100
22;250;166;28;109;250;206;14;0
250;203;157;32;100;250;236;43;200
250;183;107;76;74;250;236;95;150
228;182;181;244;114;250;207;211;50
39;211;193;42;84;250;231;47;0
6;118;198;112;103;250;196;127;0
250;250;151;51;50;250;236;43;0
161;140;224;84;250;127;243;100;100
139;225;190;48;61;250;232;47;0
228;229;99;91;73;250;224;109;200
33;160;225;195;107;250;215;196;50
44;205;159;28;122;250;226;46;0
11;237;94;36;121;250;224;39;0
250;173;121;62;56;250;231;85;100
33;206;211;39;79;250;228;49;0
233;238;140;39;74;250;214;37;150
250;175;89;96;73;250;241;119;150
0;188;161;39;78;250;225;58;0
128;217;197;46;84;250;226;47;0
250;139;157;70;125;250;231;94;100
0;224;141;118;73;250;187;145;0
167;158;135;2;42;250;241;47;100
250;250;150;46;71;250;236;31;150
250;83;174;47;126;250;239;98;150
250;250;85;86;74;250;212;101;200
250;101;169;51;120;250;240;89;150
39;195;176;24;94;250;239;43;0
