Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;246;0;248;250;9;221;248;50
147;250;210;16;28;250;216;0;0
250;149;115;92;29;250;238;114;150
72;205;200;246;23;210;241;227;0
0;174;211;146;44;250;216;156;0
250;107;158;101;40;250;226;124;50
144;220;103;132;42;250;231;157;150
44;162;158;154;44;250;226;161;50
158;70;193;39;53;250;234;98;50
250;133;105;244;209;77;238;186;200
0;250;190;11;46;250;171;0;100
250;136;140;90;25;250;231;109;150
153;106;218;98;176;96;232;115;0
42;250;195;30;42;250;240;0;0
131;232;100;85;41;250;237;99;100
36;130;229;164;45;250;240;170;50
64;164;151;32;58;250;233;62;100
39;250;202;29;42;250;227;0;50
250;250;203;16;44;250;234;0;100
64;209;202;21;29;250;230;33;0
0;173;179;144;53;250;211;156;50
83;123;232;201;49;250;233;180;200
164;176;157;112;44;250;242;136;0
225;164;131;88;22;250;227;107;100
125;163;124;84;41;250;240;105;150
250;211;14;241;250;10;225;230;50
250;187;97;21;60;250;235;32;100
244;167;129;69;43;250;219;91;200
242;140;149;96;28;250;214;119;0
67;150;214;130;50;250;156;139;100
50;175;181;12;44;250;226;45;0
94;196;164;160;46;250;212;176;0
128;250;15;248;217;76;210;250;0
0;168;216;150;46;250;212;160;0
3;250;192;21;44;250;211;0;100
200;232;172;25;46;250;231;26;100
0;169;212;145;50;250;215;156;0
0;250;169;36;26;250;241;10;100
69;152;208;122;65;250;210;134;0
203;250;170;34;21;250;232;26;200
19;198;118;103;46;250;241;129;100
250;120;212;173;92;184;168;169;200
231;178;171;21;47;250;229;47;200
31;173;143;151;50;250;219;162;0
250;180;188;144;56;250;207;158;200
186;162;110;78;45;250;241;106;100
