Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
72;232;209;16;84;250;244;19;0
22;193;208;158;87;250;230;172;0
122;196;186;21;84;250;234;38;50
250;73;206;33;96;250;220;95;200
17;208;114;79;81;250;228;94;200
6;219;99;102;80;250;236;126;200
0;173;166;148;100;250;240;159;200
250;136;129;133;134;250;228;137;200
33;167;191;53;87;250;222;77;200
250;146;228;177;110;250;221;173;200
22;250;172;15;84;250;236;0;200
250;51;184;9;67;159;234;100;200
6;107;191;185;43;250;219;170;0
28;204;207;155;87;250;185;173;150
78;228;149;17;84;250;227;21;0
11;231;146;101;81;250;177;122;0
250;185;131;49;80;250;239;69;100
83;172;212;55;80;250;194;78;100
0;195;196;158;87;250;199;173;0
250;129;150;59;84;250;186;88;200
250;243;203;55;107;250;0;30;200
250;158;156;42;81;250;230;71;250
28;224;138;247;162;215;239;237;100
33;223;198;22;84;250;232;26;200
250;115;112;166;129;250;108;145;100
156;167;188;210;97;250;240;193;0
17;179;202;146;114;250;189;160;0
144;225;159;86;80;250;239;104;200
250;159;124;52;80;250;240;79;200
