Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
50;210;173;22;139;241;208;20;0
0;250;216;20;93;250;240;0;0
22;88;193;74;250;105;218;83;0
0;250;215;20;77;250;208;0;0
0;250;209;23;77;250;209;0;0
250;77;207;30;208;150;241;99;200
72;155;202;67;205;140;232;115;150
44;222;224;142;83;250;212;165;0
0;244;219;119;101;250;234;146;0
0;250;201;41;83;250;210;0;150
11;250;155;44;81;250;210;0;0
250;34;208;36;189;113;176;110;0
250;161;149;164;181;191;207;155;150
250;129;210;55;198;138;240;111;100
0;233;222;161;93;250;228;192;0
0;250;224;32;60;250;231;9;150
50;242;150;76;85;250;215;69;0
250;111;220;1;104;191;244;71;50
22;250;189;31;108;250;213;0;0
250;33;213;147;250;45;246;136;150
44;230;165;54;98;250;231;65;0
39;250;225;97;0;218;217;143;100
250;236;213;105;203;145;231;162;0
0;211;209;134;207;145;218;187;150
