Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;97;132;131;144;223;214;147;100
250;75;144;159;162;206;212;150;150
144;250;184;26;110;122;210;117;0
250;97;132;132;146;221;214;148;100
250;85;140;146;154;213;214;149;100
250;21;233;26;156;104;240;124;200
0;218;230;2;68;250;209;25;0
0;250;230;47;83;250;210;25;0
0;250;227;26;37;250;207;0;0
6;250;227;29;0;250;210;0;50
250;98;130;132;146;221;214;149;150
6;250;238;25;88;250;207;0;150
