Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;34;157;33;41;250;162;112;0
217;157;189;223;64;243;204;202;50
0;229;216;63;213;138;212;84;150
0;250;154;205;182;164;214;250;0
44;135;210;82;56;250;210;123;0
0;250;216;219;162;158;174;250;150
250;135;110;82;56;250;214;123;250
250;98;154;7;29;250;237;76;100
194;155;198;125;70;250;241;136;150
250;49;130;115;53;250;159;121;100
0;250;205;208;204;147;211;250;50
250;42;217;175;37;250;210;140;50
