Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
0;250;92;35;31;250;185;0;0
250;199;226;105;32;250;29;123;200
89;170;221;145;42;250;232;159;150
250;92;160;28;56;250;231;89;200
0;87;216;140;81;185;238;124;0
250;112;188;243;45;145;231;174;200
200;92;214;34;96;237;204;80;100
239;250;0;24;73;250;242;0;100
206;110;182;122;27;250;201;145;0
11;114;216;20;16;250;179;68;200
250;52;212;207;33;250;236;144;200
