Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
6;182;244;153;47;250;232;166;0
250;61;157;245;97;69;217;133;50
250;51;156;245;80;67;207;130;50
69;172;192;33;80;198;228;43;100
42;250;146;59;47;250;186;29;50
250;53;163;244;56;67;216;128;50
250;38;160;246;48;66;198;129;50
14;250;157;43;47;250;217;0;0
0;250;180;29;40;250;223;0;0
31;243;214;84;35;250;219;81;250
250;83;176;229;43;250;233;161;200
28;250;199;78;35;250;221;70;0
250;181;60;249;242;69;241;216;50
194;111;181;93;66;250;244;97;100
250;21;128;246;135;87;148;131;50
250;23;118;244;135;93;141;134;100
72;133;202;40;69;250;228;65;50
250;70;221;49;76;154;229;91;200
28;250;180;34;17;250;214;0;50
250;97;160;118;45;250;222;128;50
14;250;175;40;46;250;220;0;0
250;11;206;26;204;82;197;120;200
3;250;185;54;44;250;220;33;150
250;40;193;239;39;250;233;143;200
3;139;194;99;41;250;232;109;0
0;250;226;108;39;250;219;153;200
0;185;239;105;34;250;220;112;200
6;82;234;161;49;250;240;148;50
250;250;0;231;250;66;239;250;0
83;76;221;182;41;250;215;146;200
6;145;225;112;41;250;243;129;50
3;250;222;90;44;250;221;108;50
36;114;230;177;51;250;218;153;100
61;108;240;124;0;250;244;122;0
