Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
67;136;223;175;108;250;243;172;0
11;250;230;48;0;250;143;39;200
244;165;135;59;97;250;243;78;100
39;60;204;135;129;250;238;133;250
67;250;172;23;62;250;161;0;200
0;250;232;37;120;250;219;15;150
106;180;194;212;115;250;222;210;200
22;59;234;4;0;250;208;96;100
0;115;211;62;83;250;210;98;0
0;133;214;178;130;250;240;174;150
183;218;158;220;120;250;196;220;200
250;98;203;125;123;250;243;133;50
11;113;237;2;0;250;240;69;200
22;148;233;99;81;250;233;124;150
0;201;224;49;107;250;135;60;0
6;236;182;49;86;250;230;46;100
0;216;236;203;126;250;244;223;200
22;146;234;24;47;250;244;62;200
250;17;238;197;137;250;232;131;200
22;193;209;206;116;250;229;214;200
122;172;199;35;86;250;216;57;100
250;103;200;125;205;163;232;111;200
28;192;219;43;35;250;209;58;100
