Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
119;138;126;58;57;133;242;114;100
39;199;220;55;66;113;183;77;200
250;52;191;59;40;151;235;125;100
0;204;199;83;37;211;131;91;0
119;215;122;105;52;132;229;169;100
139;220;152;134;55;133;234;203;100
0;163;216;71;47;150;216;58;0
236;175;120;81;44;150;239;147;100
0;195;214;54;71;111;184;78;200
153;243;138;195;42;170;185;237;100
0;250;187;177;54;132;229;250;100
25;250;196;138;52;132;241;226;200
142;178;165;49;34;159;231;122;50
19;241;162;152;56;132;243;228;50
0;250;223;183;52;134;159;250;100
6;110;207;89;39;159;224;143;100
11;227;117;101;37;169;238;188;100
117;148;184;17;33;216;242;57;200
25;223;207;131;55;132;225;202;100
83;250;212;219;76;103;238;250;100
0;250;197;141;40;151;221;250;50
250;85;172;117;31;250;197;128;0
250;68;197;79;33;211;240;115;100
0;139;219;1;0;222;243;57;0
94;250;145;3;9;250;240;0;50
147;152;114;97;35;162;237;164;100
0;173;234;77;52;151;163;58;200
250;250;0;10;13;250;242;0;50
0;185;212;56;70;112;192;81;200
17;190;201;130;41;164;182;198;0
0;141;202;93;29;243;220;109;0
3;118;217;102;31;242;165;99;0
214;98;171;103;31;214;130;121;0
39;171;144;129;44;152;185;191;200
131;219;132;64;39;149;244;135;200
225;250;0;15;22;250;238;0;50
8;195;212;56;71;112;184;81;0
111;250;152;158;52;132;240;241;150
203;199;119;48;55;133;219;98;200
250;137;130;87;37;162;237;152;100
3;187;219;163;50;136;242;209;0
0;189;206;83;37;211;153;93;0
0;250;216;143;52;133;242;250;200
28;212;211;88;45;150;235;162;100
