Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
150;231;118;101;105;138;221;190;0
250;135;176;82;52;250;217;122;100
189;120;210;80;77;146;218;81;150
67;210;224;208;60;164;220;208;200
144;102;188;123;114;138;244;160;100
50;250;189;209;102;153;83;250;0
33;86;241;74;116;129;229;112;0
250;80;186;63;66;148;228;109;100
244;128;195;63;226;143;234;91;200
250;111;157;96;87;125;238;162;100
194;126;207;82;75;148;218;80;200
250;93;169;125;111;138;232;157;100
28;190;197;203;89;184;241;215;200
194;72;207;156;81;174;234;144;200
250;42;207;124;65;166;243;130;200
250;124;156;106;98;125;239;171;50
250;187;179;104;68;162;224;127;200
250;65;213;131;113;145;237;138;200
250;54;194;125;107;147;237;132;200
233;89;213;84;55;124;236;150;200
6;91;210;97;74;129;237;159;0
250;66;192;90;169;132;230;101;100
