Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;180;155;133;112;144;216;190;200
228;186;126;52;77;163;219;126;200
250;250;0;3;58;250;227;0;100
239;95;192;51;79;133;239;113;250
250;166;165;72;68;156;219;59;100
250;166;176;70;46;163;221;58;100
211;214;150;129;115;128;224;200;0
250;231;207;172;60;250;61;218;100
250;160;118;87;46;163;220;164;100
250;169;163;71;61;167;219;57;100
89;201;150;131;112;212;229;171;200
6;150;132;85;84;162;235;153;100
250;163;168;78;90;162;244;148;0
250;120;173;224;61;242;215;185;150
250;44;160;51;89;162;201;124;100
250;163;158;66;205;152;233;89;100
250;162;162;69;66;163;218;58;200
250;44;197;234;129;122;199;147;150
250;171;169;72;55;164;217;57;100
28;250;0;4;38;250;228;0;0
250;90;161;93;114;132;191;137;200
17;193;167;145;135;125;236;202;150
83;154;180;75;82;190;229;94;200
