Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;28;250;199;135;41;250;224;174
150;156;241;107;108;47;250;223;131
50;22;250;191;137;42;250;224;176
0;250;80;168;185;46;250;244;160
0;31;200;220;99;38;250;221;124
150;100;250;99;96;46;250;221;116
100;217;250;59;118;47;250;223;152
150;150;102;198;77;60;250;213;110
50;250;222;235;112;76;194;188;171
200;250;20;213;113;83;109;230;116
100;183;250;102;87;47;250;220;102
150;0;51;236;84;58;250;213;104
150;119;250;133;86;44;250;221;97
150;6;52;234;85;56;250;214;103
50;17;250;185;138;42;250;224;177
150;81;226;232;108;77;192;199;165
150;178;250;105;85;46;250;221;99
0;0;185;236;135;40;250;228;145
