Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;250;166;199;141;167;95;216;169
0;28;250;155;155;48;250;226;195
0;83;243;141;145;48;250;227;178
150;25;250;138;154;48;250;226;196
150;194;135;158;186;49;250;223;166
200;3;195;184;39;38;250;225;30
150;33;94;224;237;51;250;237;168
150;244;229;75;113;59;250;221;141
100;250;250;241;127;123;105;186;217
0;25;250;155;157;48;250;226;197
0;22;250;155;156;48;250;226;197
200;6;201;183;39;38;250;225;27
150;189;96;191;236;51;250;218;169
150;131;36;232;123;47;158;219;108
100;0;242;204;138;41;250;226;167
