Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
150;67;233;125;155;56;250;229;215
150;14;186;194;199;64;250;219;194
50;250;182;193;198;138;122;142;208
200;36;141;205;117;51;250;218;115
50;50;250;224;31;41;250;220;0
50;175;199;202;109;94;176;235;136
150;0;0;0;0;0;0;0;0
0;8;250;217;35;51;250;225;0
50;3;250;229;36;40;250;220;0
200;0;0;0;0;0;0;0;0
200;250;243;12;159;61;225;227;234
100;6;250;186;38;35;250;72;0
50;36;169;186;193;63;250;217;183
100;0;0;0;0;0;0;0;0
