Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
150;250;146;105;77;41;250;220;120
150;100;238;218;76;3;156;138;213
150;128;213;140;68;101;164;160;81
200;22;250;65;43;56;250;158;12
200;0;250;140;34;68;170;231;84
0;172;222;97;9;18;250;211;15
200;6;250;210;63;71;230;195;75
200;53;234;153;55;104;155;195;69
200;128;250;126;51;29;190;226;77
200;6;250;180;41;64;236;217;44
50;17;236;140;49;114;139;225;66
200;58;200;178;66;119;144;211;70
150;0;0;0;0;0;0;0;0
250;14;217;225;56;133;113;219;88
50;42;152;180;33;15;250;230;55
50;156;250;72;29;32;250;237;0
150;28;145;232;125;0;177;230;138
50;103;227;153;88;77;203;217;124
250;72;197;198;153;84;175;199;175
200;83;201;193;149;87;176;211;172
150;111;208;155;61;131;127;220;72
150;36;126;221;219;14;250;154;186
200;192;230;174;166;82;174;209;199
50;117;250;100;41;68;231;231;37
250;86;250;99;45;92;156;211;75
150;3;233;145;16;28;250;235;9
200;36;250;196;192;129;113;213;250
150;28;250;219;34;35;250;165;22
50;36;218;166;54;127;121;235;84
