Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;138;90;73;41;250;213;115
100;50;140;228;136;0;239;106;133
200;0;0;0;0;0;0;0;0
150;0;0;0;0;0;0;0;0
200;250;229;66;65;26;250;129;54
50;0;170;179;85;77;224;162;95
150;194;153;206;156;6;177;109;190
200;119;250;151;137;131;118;227;202
150;92;171;138;39;42;190;219;107
200;175;145;179;189;136;125;224;168
150;33;109;215;35;21;234;173;99
150;250;137;138;80;98;114;223;147
200;0;0;0;0;0;0;0;0
200;0;0;0;0;0;0;0;0
200;250;202;0;26;27;250;108;28
200;250;17;54;35;18;250;70;117
50;147;203;218;4;18;250;222;26
150;53;250;235;223;105;82;230;250
200;0;0;0;0;0;0;0;0
100;0;0;0;0;0;0;0;0
150;119;161;115;43;73;232;225;62
0;19;193;188;143;161;99;224;179
150;197;138;206;208;162;102;233;191
150;119;224;146;52;40;226;227;30
0;56;213;164;28;104;113;191;88
150;0;250;226;244;87;97;227;250
150;203;119;163;187;18;250;112;176
150;122;245;231;132;132;114;224;197
150;11;170;122;85;60;228;224;89
100;14;115;229;161;145;116;222;161
50;250;152;50;8;4;250;193;50
150;117;206;156;59;57;230;226;42
150;97;177;190;65;50;161;228;154
200;250;25;112;31;18;250;136;113
200;250;16;118;32;18;250;133;118
150;178;250;216;223;47;102;214;250
200;111;232;117;95;75;125;237;194
150;81;186;198;39;49;227;184;51
200;250;64;146;12;43;250;210;93
200;250;21;173;13;19;250;193;115
200;0;0;0;0;0;0;0;0
200;0;0;0;0;0;0;0;0
200;0;0;0;0;0;0;0;0
200;250;107;127;192;38;250;132;170
150;144;206;145;59;22;230;225;42
200;103;235;212;147;157;101;224;197
150;58;175;155;46;49;161;232;135
