Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
100;250;215;204;229;44;112;212;232
50;33;205;223;123;53;200;129;177
150;103;250;135;45;16;250;174;0
0;103;250;113;78;95;134;217;145
150;94;250;156;33;40;250;218;0
150;0;0;0;0;0;0;0;0
100;0;230;228;66;99;117;224;138
200;6;250;190;230;28;216;223;250
100;22;203;224;93;74;119;206;188
150;125;171;179;81;41;228;221;136
200;222;123;179;241;8;250;161;187
150;0;0;0;0;0;0;0;0
250;150;250;117;44;19;250;119;0
200;158;193;151;66;25;193;122;45
200;28;150;229;159;71;87;148;175
150;250;236;50;48;34;250;223;78
100;75;189;134;88;54;227;214;95
100;72;193;195;147;145;100;223;198
150;250;206;149;43;57;250;217;56
100;64;250;191;178;143;106;219;250
150;250;105;137;11;5;250;218;73
100;250;65;210;183;18;250;170;147
100;0;0;0;0;0;0;0;0
