Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
150;39;139;208;88;53;250;213;133
150;250;108;239;65;50;250;196;106
50;250;164;102;228;168;74;214;196
50;17;250;211;40;0;250;180;0
200;250;35;202;80;77;225;235;116
100;250;22;212;86;78;222;233;120
150;250;96;142;245;238;68;237;169
50;11;250;215;39;45;250;179;0
150;8;221;179;159;72;239;227;185
50;250;152;75;237;250;65;226;201
150;33;131;149;13;69;250;235;62
50;14;250;196;79;46;250;226;103
50;14;250;207;135;51;250;228;182
200;28;250;168;25;39;250;179;0
100;133;216;150;250;205;81;204;232
150;250;150;78;245;250;63;228;200
