Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
150;78;201;139;67;39;180;227;45
150;106;60;223;76;17;250;237;105
0;14;250;229;186;67;171;179;248
150;0;0;0;0;0;0;0;0
150;97;17;241;150;0;183;236;130
50;75;250;236;193;57;188;182;250
200;250;228;195;98;34;250;229;108
150;11;193;218;141;29;250;195;174
0;25;250;177;118;53;202;180;250
50;28;250;217;100;73;167;208;197
200;28;250;178;117;53;203;178;250
50;6;192;203;174;54;100;227;216
200;250;63;201;130;40;132;229;99
250;0;192;214;56;99;162;228;64
200;250;12;222;49;12;250;235;120
50;0;250;232;97;91;98;205;226
0;31;250;201;81;19;172;225;171
0;28;250;167;109;54;204;184;250
0;3;207;224;74;128;121;227;110
150;75;250;138;39;11;250;228;7
