Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;89;204;179;219;232;72;236;217
100;250;13;231;173;207;72;236;126
200;156;167;161;246;232;72;224;208
200;139;188;160;182;221;76;231;187
100;250;145;93;240;220;75;235;197
200;250;56;180;247;225;73;232;152
0;178;207;119;6;72;222;137;33
100;19;50;241;2;69;238;203;101
50;25;184;192;241;233;71;239;217
200;53;123;218;130;203;77;235;102
