Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
150;3;99;173;65;84;175;227;77
50;83;224;174;1;53;250;207;20
150;50;250;202;234;238;68;234;250
200;211;90;183;243;211;72;233;163
150;3;100;173;77;82;161;227;77
150;250;55;225;12;48;120;175;112
100;0;0;0;0;0;0;0;0
50;11;250;231;2;45;250;35;0
150;78;250;11;233;236;68;234;250
50;250;239;32;104;59;250;200;154
150;6;250;180;122;39;250;226;154
150;250;108;154;244;180;74;237;167
100;0;0;0;0;0;0;0;0
200;25;191;188;237;200;72;232;212
150;36;159;224;3;65;231;140;55
50;128;153;161;145;130;131;217;136
50;181;221;104;235;229;69;234;233
150;3;89;185;82;78;164;227;82
0;6;250;178;122;39;250;227;156
150;6;250;180;120;39;250;226;153
150;0;89;184;67;59;250;226;84
150;0;0;0;0;0;0;0;0
