Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
0;3;231;234;116;36;250;226;132
150;250;189;99;116;49;250;218;148
200;0;0;0;0;0;0;0;0
150;0;0;0;0;0;0;0;0
50;167;216;133;63;45;250;243;80
50;103;247;137;234;207;71;209;239
100;44;250;126;67;48;250;225;69
50;33;193;196;173;45;250;226;182
200;250;201;67;229;54;250;217;225
200;50;180;91;92;111;153;227;104
150;75;206;133;64;113;153;225;56
200;250;135;106;222;43;250;216;193
150;250;76;167;33;96;179;220;92
150;122;250;122;65;49;250;223;63
100;0;0;0;0;0;0;0;0
150;44;250;203;59;44;250;213;63
