Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;82;161;16;13;250;124;85
150;17;178;234;1;22;250;231;36
150;186;177;146;69;30;171;223;54
100;211;122;160;23;9;250;209;73
150;183;250;97;70;25;225;222;110
250;250;124;134;93;24;183;219;88
150;169;126;180;98;25;141;222;79
150;250;21;142;188;4;250;125;133
50;22;250;184;225;14;212;226;250
150;86;186;167;26;15;250;231;36
150;250;65;238;149;23;250;173;143
50;236;250;61;52;32;250;220;32
