Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
0;53;250;156;239;229;68;226;250
150;167;250;106;104;47;250;223;139
200;144;148;177;167;47;250;221;159
200;119;250;134;109;44;250;225;141
150;250;14;229;25;165;81;218;119
150;219;166;136;133;55;250;236;162
200;208;89;241;74;149;98;175;123
150;250;100;140;104;56;250;207;110
150;200;186;131;215;53;250;221;203
150;3;177;110;52;50;250;227;41
