Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;47;243;188;95;23;160;225;200
100;11;38;235;240;15;250;226;142
200;0;250;138;86;22;190;225;140
100;153;201;148;67;38;163;225;51
0;111;176;145;114;20;193;227;157
150;8;39;232;245;14;250;229;143
100;83;25;241;210;18;250;224;134
200;208;33;225;183;11;158;220;124
100;250;62;198;90;28;250;212;113
150;250;154;81;43;24;250;235;60
150;250;233;63;89;21;250;214;110
100;250;37;129;240;10;250;92;142
150;250;216;61;90;23;250;223;105
200;81;20;241;210;20;250;226;131
50;19;163;170;37;23;250;214;49
250;122;250;124;48;15;196;228;78
50;53;249;217;200;64;189;66;248
150;250;207;0;47;17;250;200;36
150;0;185;236;74;76;81;230;107
100;3;250;188;35;28;129;226;79
0;3;250;193;15;26;250;237;0
100;106;250;149;55;17;186;229;82
150;72;250;133;25;35;250;234;0
150;250;116;184;153;28;250;232;151
150;250;171;152;42;23;250;236;47
100;119;250;144;60;17;188;228;91
150;250;37;129;244;15;250;93;142
200;131;89;196;230;15;250;204;169
150;189;229;113;89;21;250;220;112
100;250;36;128;242;17;250;93;141
