Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;0;185;164;63;181;82;223;91
0;3;214;181;45;58;142;213;129
150;39;250;196;48;72;183;227;74
50;97;136;178;63;39;162;210;143
200;64;211;146;60;80;180;224;45
250;147;183;135;68;37;177;204;58
150;250;208;29;75;25;250;227;86
150;17;71;202;72;35;162;226;138
200;19;245;75;66;59;187;227;100
200;14;194;237;66;89;161;217;54
150;11;178;128;59;41;162;194;143
200;250;33;218;214;11;133;191;127
200;250;18;218;218;11;133;204;126
250;242;235;170;50;66;178;213;93
50;14;180;165;76;174;81;223;107
150;250;92;167;74;36;162;211;143
250;78;250;159;89;51;190;221;145
150;244;89;175;76;33;162;221;143
200;100;250;101;83;52;195;226;135
150;83;250;178;64;58;186;177;106
200;250;25;222;223;12;142;223;127
200;250;16;214;217;13;133;222;126
150;89;234;179;50;69;173;217;95
150;19;250;113;92;49;189;182;153
0;3;250;34;23;16;250;189;0
0;0;206;165;63;81;173;204;47
0;61;178;160;72;80;175;224;64
150;139;250;239;55;62;207;192;75
0;6;196;147;68;82;171;214;58
0;8;197;139;67;80;174;220;55
150;158;198;152;67;83;164;213;54
0;14;182;231;70;80;178;227;60
