Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;69;167;234;1;42;250;123;42
0;0;189;238;63;119;84;179;91
50;0;196;238;63;112;84;172;89
100;0;193;239;63;96;83;175;89
200;211;178;213;60;38;232;163;37
150;250;153;223;58;50;231;166;48
250;131;186;165;67;104;161;178;56
0;103;250;144;94;73;195;76;155
150;11;36;236;238;17;250;229;141
250;72;174;168;66;107;158;196;61
150;139;206;149;64;62;165;172;51
250;33;245;169;45;99;158;182;59
200;108;249;135;69;77;188;130;110
200;75;249;118;61;83;185;148;90
50;103;250;163;178;64;142;92;250
50;172;250;134;47;79;187;167;71
200;250;97;129;89;69;165;171;80
200;250;102;183;89;67;165;164;78
50;83;250;175;180;64;141;123;250
50;153;250;176;179;66;141;23;250
200;250;89;195;62;57;196;221;83
150;133;182;167;51;74;190;205;97
50;156;248;128;51;83;183;173;76
200;17;250;45;47;75;194;224;73
200;250;101;166;88;67;165;172;78
250;89;116;211;85;76;168;170;72
