Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;147;213;144;62;36;171;224;46
200;250;232;58;90;25;250;219;110
150;81;248;183;93;11;144;230;204
0;11;167;181;213;22;233;197;207
50;250;80;151;149;31;224;214;149
200;11;38;235;236;12;250;226;141
50;3;250;0;5;21;250;237;0
50;0;185;230;129;10;250;231;155
150;250;109;161;31;26;250;209;74
100;69;128;216;41;10;250;233;68
100;250;27;220;70;10;250;229;119
50;11;238;180;183;26;142;226;242
200;250;64;198;37;15;250;198;96
100;17;64;226;140;35;250;235;129
150;19;183;232;33;14;250;232;38
150;103;250;129;49;43;192;226;79
250;169;155;166;82;33;152;222;68
200;11;211;183;184;24;141;226;228
250;236;104;175;66;31;202;198;77
100;8;37;237;237;20;250;225;141
200;250;55;172;245;15;250;155;152
200;6;38;236;243;15;250;226;142
150;250;157;114;25;20;250;224;49
