Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
150;83;250;235;37;55;250;178;0
0;172;93;196;21;69;247;244;83
200;250;87;166;173;152;73;174;111
200;250;22;175;168;151;76;179;121
200;250;17;177;167;151;76;180;122
200;250;12;179;165;150;76;181;123
150;250;73;155;205;165;75;228;160
200;250;30;181;76;223;75;208;116
200;250;93;166;27;56;162;229;109
150;6;250;192;44;55;250;177;7
150;250;87;126;220;156;73;167;136
150;250;83;145;234;250;64;228;162
50;250;125;113;134;90;153;237;169
200;250;46;182;45;234;68;159;102
200;250;84;113;238;96;79;165;148
100;125;237;115;53;81;213;178;39
50;250;136;98;242;250;10;234;188
100;11;179;180;10;20;188;140;71
