Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;75;121;213;93;55;250;226;136
150;250;33;238;86;56;250;206;111
50;250;250;0;237;204;75;205;250
150;250;149;137;48;37;250;226;76
100;139;35;239;91;56;250;209;111
50;6;235;240;141;41;250;132;168
50;0;250;233;137;41;250;133;173
200;250;33;211;116;47;158;178;109
0;47;250;57;240;193;75;229;247
200;106;250;80;239;228;73;195;250
150;250;21;35;238;242;68;56;135
50;75;209;116;227;216;73;236;228
50;250;80;139;249;226;73;219;165
150;250;33;211;118;44;158;178;109
150;250;219;9;247;241;69;228;234
150;64;139;213;93;55;250;212;137
200;250;82;150;233;222;73;232;166
150;250;76;241;4;105;162;166;87
150;250;102;125;249;182;76;226;165
150;250;80;220;102;132;112;206;136
