Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;156;154;173;147;143;84;162;194
200;250;78;156;248;134;129;234;164
50;61;158;136;240;125;129;220;202
200;250;110;126;244;135;127;235;179
200;250;78;139;15;194;87;70;87
50;119;136;135;108;59;241;224;151
150;250;76;182;52;91;191;166;95
0;53;151;214;186;77;226;236;175
150;86;195;227;144;57;250;230;158
50;250;77;198;84;183;71;237;136
50;19;250;198;1;38;250;101;0
100;25;154;223;5;57;250;116;49
100;6;237;222;135;2;250;128;160
150;250;33;82;240;140;122;114;142
150;250;139;98;246;104;149;235;185
