Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
100;47;145;205;87;51;250;213;134
100;33;250;218;30;39;250;213;23
200;250;82;33;246;245;67;105;165
200;250;66;83;2;121;141;23;92
0;28;250;125;31;38;250;180;0
100;0;250;238;71;42;250;228;64
150;8;250;193;160;73;226;228;227
100;3;250;221;141;57;250;228;192
100;19;250;221;161;55;250;131;217
0;6;173;160;72;39;250;231;96
100;8;202;193;43;36;250;228;30
150;108;184;183;150;94;172;234;183
150;81;54;238;14;91;144;191;102
150;47;40;240;16;101;128;210;108
100;33;141;211;85;51;250;212;130
150;136;250;109;138;53;250;230;209
200;17;250;137;38;41;250;179;0
150;58;214;124;116;18;250;189;147
