Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
0;53;250;156;239;229;68;226;250
150;167;250;106;104;47;250;223;139
100;0;0;0;0;0;0;0;0
200;144;148;177;167;47;250;220;159
100;0;0;0;0;0;0;0;0
150;19;250;154;41;50;250;226;0
150;0;0;0;0;0;0;0;0
200;119;250;134;109;44;250;225;141
150;250;14;229;24;165;81;218;119
150;219;166;136;133;55;250;236;162
200;208;89;241;74;149;98;175;123
150;0;0;0;0;0;0;0;0
150;250;100;140;104;56;250;207;110
150;200;186;131;215;53;250;221;203
150;3;177;110;52;50;250;227;41
150;39;140;208;88;53;250;214;133
150;250;97;239;65;50;250;187;107
50;250;163;102;228;168;74;215;196
50;17;250;210;40;0;250;180;0
100;0;0;0;0;0;0;0;0
200;250;33;203;83;77;225;235;117
150;250;21;213;87;78;222;233;120
150;250;96;142;245;238;68;237;169
50;11;250;215;39;45;250;179;0
150;8;221;179;159;72;239;226;185
50;250;151;75;237;250;65;225;200
150;0;0;0;0;0;0;0;0
50;14;250;196;79;46;250;226;103
50;14;250;207;135;51;250;229;182
200;28;250;168;25;39;250;179;0
100;0;0;0;0;0;0;0;0
50;3;250;203;38;40;250;181;0
150;0;0;0;0;0;0;0;0
