Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
150;78;201;139;67;39;180;227;45
150;106;60;223;76;17;250;236;105
0;14;250;229;186;67;171;178;248
150;97;17;241;150;0;183;236;130
50;75;250;236;193;57;188;182;250
200;250;228;195;98;34;250;229;108
150;11;193;218;141;29;250;195;174
0;25;250;177;118;53;202;179;250
50;28;250;217;100;73;167;208;197
200;28;250;178;117;53;203;178;250
50;6;192;203;174;54;100;227;216
200;250;63;201;130;40;132;229;99
250;0;192;214;56;99;162;228;64
200;250;12;223;49;12;250;235;120
100;6;156;198;193;64;156;205;174
0;28;250;202;81;19;172;225;171
0;28;250;167;109;54;204;184;250
0;3;207;224;74;128;121;227;110
150;75;250;138;39;11;250;228;7
200;250;83;161;16;13;250;123;84
200;0;0;0;0;0;0;0;0
150;17;178;234;2;22;250;231;36
150;186;178;146;69;30;171;223;53
100;203;117;164;22;7;250;210;75
150;183;250;97;70;25;225;223;110
250;250;124;134;93;24;183;219;88
150;0;0;0;0;0;0;0;0
0;56;250;160;2;15;250;231;0
150;0;0;0;0;0;0;0;0
150;169;126;180;98;25;141;222;79
150;250;21;142;188;4;250;126;133
150;111;210;157;8;18;250;239;20
50;22;250;184;225;14;212;227;250
150;86;186;167;26;14;250;231;36
150;250;65;238;150;23;250;173;143
50;236;250;62;52;31;250;220;32
