Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
0;42;156;123;220;113;143;33;195
50;119;127;71;146;93;167;53;167
200;125;178;24;51;56;230;57;87
150;114;134;69;164;171;93;14;192
50;8;243;20;229;60;247;35;232
50;3;250;38;3;49;250;19;0
200;72;82;89;0;63;161;24;85
200;111;164;176;81;89;211;31;153
150;125;97;114;166;87;116;29;172
200;19;176;86;103;250;116;35;89
50;0;213;18;58;249;85;24;98
0;14;107;34;45;59;200;49;83
100;14;72;27;178;154;198;22;153
100;69;150;75;211;166;152;89;199
200;108;156;104;109;85;219;16;164
250;125;106;93;137;220;99;29;101
200;125;173;103;186;66;250;80;210
200;125;21;42;47;50;250;14;116
200;125;75;86;164;77;223;18;153
200;125;157;104;98;110;182;41;130
250;125;75;101;87;180;130;25;99
100;125;123;96;103;86;210;21;155
50;0;85;47;231;123;123;67;148
200;0;225;42;59;250;99;42;88
200;114;75;40;95;82;136;55;94
200;125;16;45;93;33;137;39;118
100;28;205;54;82;250;93;26;99
50;3;127;83;69;250;88;30;113
50;0;250;160;187;122;168;34;220
150;125;82;120;88;99;183;33;89
200;14;61;41;207;112;146;42;132
200;3;170;71;98;250;93;34;95
250;89;195;37;77;250;67;54;96
